"module name","license","repository"
"@fortawesome/fontawesome-free@5.10.1","(CC-BY-4.0 AND OFL-1.1 AND MIT)","https://github.com/FortAwesome/Font-Awesome"
"accepts@1.3.7","MIT","https://github.com/jshttp/accepts"
"agent-base@2.1.1","MIT","https://github.com/TooTallNate/node-agent-base"
"ajv@6.10.0","MIT","https://github.com/epoberezkin/ajv"
"animsition@4.0.2","MIT","https://github.com/blivesta/animsition"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"assertion-error@1.1.0","MIT","https://github.com/chaijs/assertion-error"
"async@2.6.3","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.8.0","MIT","https://github.com/mhart/aws4"
"basic-auth@2.0.1","MIT","https://github.com/jshttp/basic-auth"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
"billboard.js@1.10.1","MIT","https://github.com/naver/billboard.js"
"biqapp@0.0.0","UNLICENSED",""
"body-parser@1.19.0","MIT","https://github.com/expressjs/body-parser"
"body-parser@1.8.4","MIT","https://github.com/expressjs/body-parser"
"bootstrap@3.4.1","MIT","https://github.com/twbs/bootstrap"
"bytes@1.0.0","MIT*","https://github.com/visionmedia/bytes.js"
"bytes@3.1.0","MIT","https://github.com/visionmedia/bytes.js"
"c3@0.4.23","MIT","https://github.com/c3js/c3"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"chai@3.5.0","MIT","https://github.com/chaijs/chai"
"chartcollection@0.1.9","Public Domain","https://github.com/drarmstr/chartcollection"
"clipboard@2.0.4","MIT","https://github.com/zenorocha/clipboard.js"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@0.6.1","MIT*","https://github.com/visionmedia/commander.js"
"commander@2.20.0","MIT","https://github.com/tj/commander.js"
"commander@2.3.0","MIT*","https://github.com/visionmedia/commander.js"
"content-disposition@0.5.3","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type"
"cookie-parser@1.4.4","MIT","https://github.com/expressjs/cookie-parser"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.3.1","MIT","https://github.com/jshttp/cookie"
"cookie@0.4.0","MIT","https://github.com/jshttp/cookie"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is"
"d3-array@1.2.4","BSD-3-Clause","https://github.com/d3/d3-array"
"d3-axis@1.0.12","BSD-3-Clause","https://github.com/d3/d3-axis"
"d3-brush@1.1.2","BSD-3-Clause","https://github.com/d3/d3-brush"
"d3-chord@1.0.6","BSD-3-Clause","https://github.com/d3/d3-chord"
